,hungrybox,,plup,,armada,,leffen,,mew2king,,mango,,wizzrobe,,amsa,,zain,,axe,,sfat,,crush,,s2j,,lucky,,hugs,,swedish_delight,,pewpewu,,westballz,,n0ne,,duck,,llod,,absentpage,,ryan_ford,,kjh,,shroomed,,army,,la_luna,,syrox,,trif,,captain_smuckers,,colbol,,ibdw,,bananas,,ginger,,ice,,rishi,,mike_haze,,bladewise,,captain_faceroll,,junebug,,kalamazhu,,2saint,,slox,,gahtzu,,michael,,moky,,santiago,,professor_pro,,medz,,over_triforce,,chudat,,druggedfox,,dizzkidboogie,,kirby_kaze,,nintendude,,prince_abu,,amsah,,android,,hax,,kage,,macd,,laudandus,
mikehaze,,,0,3,,,,,0,1,,,0,1,0,1,0,1,,,0,1,,,0,1,3,5,2,2,2,0,,,0,1,0,2,0,1,,,,,,,,,1,0,5,7,0,1,,,,,,,,,,,1,1,0,2,,,,,,,1,0,4,1,,,,,0,1,,,0,1,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,0,1,1,0,1,0,,
bladewise,0,1,,,,,,,,,,,0,1,1,0,,,0,1,0,1,,,0,2,0,1,1,0,,,,,,,0,1,0,1,0,1,,,1,0,0,1,0,1,1,0,0,1,,,,,,,,,,,,,,,,,0,1,0,1,,,,,,,0,1,,,,,,,0,1,2,0,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,
captain_faceroll,0,1,,,,,,,,,,,,,,,0,3,0,1,0,6,0,1,2,4,3,4,2,1,,,0,1,1,7,,,1,0,0,2,1,0,,,,,,,5,18,1,0,1,0,,,,,,,,,,,,,,,,,1,4,,,,,,,0,1,1,0,1,0,0,1,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
junebug,,,,,,,,,,,,,,,,,4,9,,,,,,,,,0,1,,,,,,,,,,,,,14,22,0,1,,,,,,,,,1,0,,,0,1,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,
kalamazhu,0,2,,,,,,,,,1,0,0,1,,,,,,,1,0,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,0,4,,,2,0,1,1,,,,,,,,,,,,,,,0,1,,,1,0,1,0,,,,,,,,,0,1,,,,,,,,,,,,,0,1,,,0,1,,,,,,,,,,,,,,,,,,
2saint,0,2,,,,,,,,,,,0,1,,,,,,,,,,,0,1,1,0,1,0,2,1,,,,,0,2,0,1,0,2,,,,,0,2,,,,,0,1,,,,,4,5,,,,,,,0,1,,,2,2,1,0,,,0,1,,,,,,,0,1,0,1,,,0,1,,,,,,,,,,,,,,,,,1,0,,,,,,,1,0,,,0,1,,
slox,0,1,,,,,,,0,2,,,,,,,0,1,,,,,0,2,,,,,,,,,0,2,,,0,2,,,1,1,,,0,1,1,2,0,1,,,0,1,,,1,0,5,3,,,1,2,,,1,0,0,1,0,3,,,,,0,1,0,2,,,1,0,,,1,0,,,,,,,,,,,2,4,0,1,,,1,0,1,0,,,,,,,,,1,0,,,,,1,0
gahtzu,3,13,1,6,0,1,0,1,,,0,1,,,,,1,0,,,1,0,,,1,0,1,0,,,0,1,0,1,,,0,1,,,,,0,3,,,,,,,1,4,,,,,0,1,,,0,9,0,1,0,1,,,1,1,,,1,0,,,1,0,,,1,0,1,0,0,1,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,
michael,,,,,,,0,1,,,,,,,,,,,0,1,,,0,1,1,0,,,,,0,1,0,1,,,1,2,,,,,1,12,,,0,1,,,1,0,,,,,,,,,1,0,,,1,0,0,2,,,1,0,,,1,0,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,
moky,,,0,1,,,,,0,1,,,,,,,0,1,,,,,,,,,0,1,0,2,,,,,,,0,1,0,1,,,0,1,7,7,,,0,1,,,0,1,,,,,,,,,1,0,,,,,1,0,,,,,0,2,,,,,,,1,0,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,2,0,,,,,,
